sort,logo,name,percentage,price,rating,release,ends,started
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/489630/capsule_sm_120.jpg?t=1716740023,"Warhammer 40,000: Gladius - Relics of War
Free To Keep
new historical low",-100%,"0,--€",78.53%,Jul 2018,in 2 days,5 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/568220/capsule_sm_120.jpg?t=1715995525,"Lobotomy Corporation | Monster Management Simulation
Midweek Deal
Top Seller
new historical low",-70%,"6,89€",91.37%,Apr 2018,in 6 days,yesterday
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1586800/capsule_sm_120.jpg?t=1713841926,"Lil Gator Game
Daily Deal
new historical low",-50%,"9,75€",95.00%,Dec 2022,in 3 days,11 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/674140/capsule_sm_120.jpg?t=1716898396,"Bugsnax
Weekend Deal
new historical low",-70%,"6,29€",93.93%,Apr 2022,in 2 days,5 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/900883/capsule_sm_120.jpg?t=1715995389,"The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe
Weekend Deal
new historical low",-80%,"3,99€",93.73%,Jun 2009,in 2 days,5 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/22330/capsule_sm_120.jpg?t=1712869955,"The Elder Scrolls IV: Oblivion® Game of the Year Edition
Weekend Deal
new historical low",-80%,"2,99€",93.73%,Sep 2007,in 2 days,5 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1259420/capsule_sm_120.jpg?t=1715995298,"Days Gone
Top Seller",-75%,"12,49€",91.40%,May 2021,in 6 days,yesterday
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1669420/capsule_sm_120.jpg?t=1716593010,"Islets
Daily Deal
new historical low",-50%,"9,75€",90.08%,Aug 2022,in 3 days,4 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/493340/capsule_sm_120.jpg?t=1716889778,"Planet Coaster
Weekend Deal
new historical low",-95%,"1,89€",89.79%,Nov 2016,in 2 days,5 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1521580/capsule_sm_120.jpg?t=1716910864,"Perfect Heist 2
Daily Deal
new historical low",-50%,"4,99€",88.84%,Dec 2021,in 11 days,3 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1723260/capsule_sm_120.jpg?t=1716541652,"CaseCracker
Daily Deal
new historical low",-50%,"4,09€",88.63%,Dec 2022,in 5 days,9 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1710170/capsule_sm_120.jpg?t=1715828404,"Blade of Darkness
Daily Deal
new historical low",-60%,"4,99€",87.77%,Oct 2021,tomorrow,13 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/864060/capsule_sm_120.jpg?t=1716236595,"Marble It Up! Ultra
Daily Deal
new historical low",-60%,"11,99€",87.35%,Nov 2018,in 3 days,11 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1236720/capsule_sm_120.jpg?t=1716313866,"Spirit Island
Daily Deal
new historical low",-60%,"9,80€",87.34%,Jul 2020,in 4 days,6 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1413480/capsule_sm_120.jpg?t=1715995251,"Shin Megami Tensei III Nocturne HD Remaster
Daily Deal
new historical low",-80%,"9,99€",84.56%,May 2021,tomorrow,6 days ago
,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/855740/capsule_sm_120.jpg?t=1716621755,"Bum Simulator
Daily Deal
new historical low",-70%,"4,49€",84.55%,May 2023,in 9 days,5 days ago
,https://steamdb.info/static/img/applogo.svg,"Fashion Police Squad
Daily Deal
new historical low",-70%,"5,85€",83.64%,Aug 2022,,
,https://steamdb.info/static/img/applogo.svg,"Five Dates
Daily Deal
new historical low",-67%,"4,88€",83.05%,Nov 2020,,
,https://steamdb.info/static/img/applogo.svg,"Gloomhaven
Midweek Deal
new historical low",-60%,"13,99€",82.06%,Oct 2021,,
,https://steamdb.info/static/img/applogo.svg,"Spellcaster University
Daily Deal
new historical low",-60%,"8,39€",80.19%,Jun 2021,,
,https://steamdb.info/static/img/applogo.svg,"Cookie Clicker
Daily Deal
all-time low: 1,59€ at -60%",-65%,"1,74€",95.23%,Sep 2021,,
,https://steamdb.info/static/img/applogo.svg,"Far Away
Week Long Deal
new historical low",-55%,"5,75€",94.54%,Aug 2021,,
,https://steamdb.info/static/img/applogo.svg,"Batman: Arkham City - Game of the Year Edition
new historical low",-80%,"3,99€",94.38%,Sep 2012,,
,https://steamdb.info/static/img/applogo.svg,"The Last Campfire
new historical low",-90%,"1,47€",94.35%,Oct 2021,,
,https://steamdb.info/static/img/applogo.svg,"Besiege
new historical low",-75%,"3,69€",93.74%,Feb 2020,,
,https://steamdb.info/static/img/applogo.svg,"Townscaper
new historical low",-60%,"2,39€",93.57%,Aug 2021,,
,https://steamdb.info/static/img/applogo.svg,"Tinykin
Midweek Deal",-60%,"9,80€",93.56%,Aug 2022,,
,https://steamdb.info/static/img/applogo.svg,"The Elder Scrolls III: Morrowind® Game of the Year Edition
Weekend Deal",-75%,"3,74€",93.19%,Apr 2002,,
,https://steamdb.info/static/img/applogo.svg,"Supraland
new historical low",-76%,"4,79€",92.57%,Apr 2019,,
,https://steamdb.info/static/img/applogo.svg,"TROUBLESHOOTER: Abandoned Children
Daily Deal",-66%,"7,81€",91.48%,Apr 2020,,
,https://steamdb.info/static/img/applogo.svg,"Creaks
new historical low",-80%,"3,99€",91.26%,Jul 2020,,
,https://steamdb.info/static/img/applogo.svg,"Total War: WARHAMMER II
new historical low",-75%,"14,99€",91.16%,Sep 2017,,
,https://steamdb.info/static/img/applogo.svg,"Red Dead Redemption 2
Top Seller
all-time low: 19,79€ at -67%",-60%,"23,99€",90.65%,Dec 2019,,
,https://steamdb.info/static/img/applogo.svg,"The Elder Scrolls V: Skyrim Special Edition
Weekend Deal",-80%,"7,99€",90.37%,Oct 2016,,
,https://steamdb.info/static/img/applogo.svg,"Aground
new historical low",-75%,"3,69€",89.28%,Apr 2020,,
,https://steamdb.info/static/img/applogo.svg,"Tormented Souls
new historical low",-70%,"5,99€",89.23%,Aug 2021,,
,https://steamdb.info/static/img/applogo.svg,"Mundaun
new historical low",-60%,"7,39€",88.92%,Mar 2021,,
,https://steamdb.info/static/img/applogo.svg,"Minecraft Dungeons
new historical low",-50%,"9,99€",88.87%,Sep 2021,,
,https://steamdb.info/static/img/applogo.svg,"Figment 2: Creed Valley
new historical low",-75%,"6,12€",88.70%,Mar 2023,,
,https://steamdb.info/static/img/applogo.svg,"UnReal World
new historical low",-50%,"5,49€",88.56%,Feb 2016,,
,https://steamdb.info/static/img/applogo.svg,"Nexomon: Extinction
new historical low",-65%,"6,99€",88.08%,Aug 2020,,
,https://steamdb.info/static/img/applogo.svg,"The Artful Escape
new historical low",-60%,"7,39€",87.78%,Sep 2021,,
,https://steamdb.info/static/img/applogo.svg,"Aces & Adventures
new historical low",-55%,"8,77€",87.39%,Feb 2023,,
,https://steamdb.info/static/img/applogo.svg,"Ultimate Fishing Simulator
Week Long Deal
new historical low",-88%,"2,39€",86.91%,Aug 2018,,
,https://steamdb.info/static/img/applogo.svg,"Rust
Top Seller
current 2-year low",-50%,"19,99€",86.52%,Feb 2018,,
,https://steamdb.info/static/img/applogo.svg,"Craft The World
new historical low",-85%,"2,77€",86.37%,Nov 2014,,
,https://steamdb.info/static/img/applogo.svg,"Crashlands
new historical low",-90%,"1,49€",86.11%,Jan 2016,,
,https://steamdb.info/static/img/applogo.svg,"Call of the Sea
new historical low",-70%,"5,99€",85.84%,Dec 2020,,
,https://steamdb.info/static/img/applogo.svg,"Operation: Tango
Week Long Deal
new historical low",-55%,"7,64€",85.09%,Jun 2021,,
,https://steamdb.info/static/img/applogo.svg,"Wolfstride
new historical low",-70%,"3,89€",84.92%,Dec 2021,,
,https://steamdb.info/static/img/applogo.svg,"月球坠落时 Moon Fall
new historical low",-72%,"3,49€",84.91%,Aug 2020,,
,https://steamdb.info/static/img/applogo.svg,"Feel The Snow
new historical low",-80%,"2,55€",84.56%,Dec 2019,,
,https://steamdb.info/static/img/applogo.svg,"Say No! More
new historical low",-85%,"2,24€",84.49%,Apr 2021,,
,https://steamdb.info/static/img/applogo.svg,"BUSTAFELLOWS
new historical low",-75%,"9,99€",84.21%,Jul 2021,,
,https://steamdb.info/static/img/applogo.svg,"Inertial Drift
new historical low",-90%,"1,99€",84.07%,Sep 2020,,
,https://steamdb.info/static/img/applogo.svg,"Call of Juarez: Bound in Blood
new historical low",-90%,"0,99€",83.47%,Jun 2009,,
,https://steamdb.info/static/img/applogo.svg,"The Outer Worlds
new historical low",-50%,"14,99€",82.22%,Oct 2020,,
,https://steamdb.info/static/img/applogo.svg,"Eternal Threads
new historical low",-75%,"4,99€",81.69%,May 2022,,
,https://steamdb.info/static/img/applogo.svg,"No Man's Sky
Top Seller
2-year low: 27,49€",-50%,"29,49€",79.62%,Aug 2016,,
,https://steamdb.info/static/img/applogo.svg,"Total War: WARHAMMER III
Top Seller",-50%,"29,99€",65.43%,Feb 2022,,
,https://steamdb.info/static/img/applogo.svg,"Portal
all-time low: 0,81€ at -90%",-90%,"0,97€",97.17%,Oct 2007,,
,https://steamdb.info/static/img/applogo.svg,"The Henry Stickmin Collection
Daily Deal
all-time low: 6,24€ at -50%",-50%,"6,99€",96.69%,Aug 2020,,
,https://steamdb.info/static/img/applogo.svg,"American Truck Simulator
Weekend Deal
all-time low: 2,49€ at -94%",-75%,"4,99€",95.51%,Feb 2016,,
,https://steamdb.info/static/img/applogo.svg,Gorogoa,-70%,"4,19€",95.05%,Dec 2017,,
,https://steamdb.info/static/img/applogo.svg,Clone Drone in the Danger Zone,-55%,"7,55€",94.69%,Jul 2021,,
,https://steamdb.info/static/img/applogo.svg,Batman: Arkham Asylum Game of the Year Edition,-80%,"3,99€",94.64%,Mar 2010,,
,https://steamdb.info/static/img/applogo.svg,Monument Valley: Panoramic Edition,-50%,"3,49€",94.44%,Jul 2022,,
,https://steamdb.info/static/img/applogo.svg,"Monster Train
Daily Deal
all-time low: 4,19€ at -80%",-80%,"4,90€",93.81%,May 2020,,
,https://steamdb.info/static/img/applogo.svg,What Remains of Edith Finch,-75%,"4,62€",93.81%,Apr 2017,,
,https://steamdb.info/static/img/applogo.svg,"Detroit: Become Human
Week Long Deal
all-time low: 15,96€ at -60%",-60%,"15,99€",93.56%,Jun 2020,,
,https://steamdb.info/static/img/applogo.svg,"Refunct
Week Long Deal",-75%,"0,74€",93.41%,Oct 2015,,
,https://steamdb.info/static/img/applogo.svg,Hexcells,-70%,"0,89€",93.38%,Feb 2014,,
,https://steamdb.info/static/img/applogo.svg,Hexcells Infinite,-70%,"1,49€",93.22%,Sep 2014,,
,https://steamdb.info/static/img/applogo.svg,The Pedestrian,-70%,"5,85€",93.20%,Jan 2020,,
,https://steamdb.info/static/img/applogo.svg,"Call of Juarez: Gunslinger
Daily Deal
current 2-year low",-90%,"1,24€",93.19%,May 2013,,
,https://steamdb.info/static/img/applogo.svg,"Rakuen
Daily Deal
2-year low: 3,99€",-70%,"4,43€",93.00%,May 2017,,
,https://steamdb.info/static/img/applogo.svg,"POSTAL: Brain Damaged
Week Long Deal",-75%,"7,45€",92.91%,Jun 2022,,
,https://steamdb.info/static/img/applogo.svg,"Orbt XL
Week Long Deal
all-time low: 0,39€ at -51%",-51%,"0,49€",92.71%,Apr 2017,,
,https://steamdb.info/static/img/applogo.svg,XCOM: Enemy Unknown,-95%,"0,99€",92.68%,Oct 2012,,
